Comment,Designator,Footprint,LCSC,Quantity
ESD5Zxx,D1,D_SOD-523,,1
5.1k,R2,R_0402_1005Metric,,1
Conn_01x02_Socket,USB_BOARD1,SHDR2W64P0X250_1X2_740X575X700P,,1
5.1k,R1,R_0402_1005Metric,,1
USB4140-GF-0070-C,J1,USB4140GF0070C,,1
1uF,C11,C_0603_1608Metric,,1
B3F-5050,S4,B3F-4055,,1
Led display 2,J4,PinHeader_1x04_P2.54mm_Vertical,,1
MCP73811T-420I-OT,U5,SOT-23-5,,1
10K,R3,R_0402_1005Metric,,1
1uF,C10,C_0603_1608Metric,,1
B3F-5050,S3,B3F-4055,,1
Led display,J3,tm1637_module,,1
Conn_01x01_Pin,J2,PinHeader_1x01_P2.54mm_Vertical,,1
330R,R4,R_0402_1005Metric,,1
SHT4x,U4,Sensirion_DFN-4_1.5x1.5mm_P0.8mm_SHT4x_NoCentralPad,,1
OPT3004DTSR,U3,DNP6_TEX,,1
500k,R7,R_0402_1005Metric,,1
Conn_01x01_Socket,J12,PinSocket_1x01_P2.54mm_Vertical,,1
~,AO9926C1,SOIC-8_3.9x4.9mm_P1.27mm,,1
Conn_01x02_Socket,J15,PinSocket_1x02_P2.54mm_Vertical,,1
Conn_01x01_Socket,J10,PinSocket_1x01_P2.54mm_Vertical,,1
Conn_01x01_Socket,J7,PinSocket_1x01_P2.54mm_Vertical,,1
10K,R6,R_0402_1005Metric,,1
TL3305AF160QG,EN1,TL3305AF160QG,,1
Conn_01x01_Socket,J9,PinSocket_1x01_P2.54mm_Vertical,,1
5.1k,R11,R_0402_1005Metric,,1
50k,R9,R_0402_1005Metric,,1
Conn_01x01_Socket,J13,PinSocket_1x01_P2.54mm_Vertical,,1
1uF,C8,C_0603_1608Metric,,1
0.1uF,C6,C_0603_1608Metric,,1
~,U2,LTR-F216A,,1
Conn_01x02_Socket,J8,PinSocket_1x02_P2.54mm_Vertical,,1
Conn_01x01_Socket,J11,PinSocket_1x01_P2.54mm_Vertical,,1
TL3305AF160QG,BATT_P1,TL3305AF160QG,,1
4.7uF,C4,C_0603_1608Metric,,1
0.1uF,C3,C_0603_1608Metric,,1
FDN304PZ,Q2,SOT-23,,1
TMAG5231C1GQDBZR,U1,SOT-23-3,,1
TLV75533PDBV,U7,SOT-23-5,,1
Conn_01x01_Socket,J14,PinSocket_1x01_P2.54mm_Vertical,,1
1uF,C9,C_0603_1608Metric,,1
5.1k,R12,R_0402_1005Metric,,1
2.7K,R5,R_0402_1005Metric,,1
800k,R10,R_0402_1005Metric,,1
TL3305AF160QG,BOOT1,TL3305AF160QG,,1
SD0805S040S0R5,D3,D_0805_2012Metric,,1
Conn_01x07_Socket,J6,PinSocket_1x07_P2.54mm_Vertical,,1
100K,R8,R_0402_1005Metric,,1
SD0805S040S0R5,D4,D_0805_2012Metric,,1
0.1uF,C5,C_0603_1608Metric,,1
0.1uF,C2,C_0603_1608Metric,,1
FS8205A,Q1,SOP65P640X120-8N,,1
0.1uF,C1,C_0603_1608Metric,,1
1uF,C7,C_0603_1608Metric,,1
Conn_01x07_Socket,J5,PinSocket_1x07_P2.54mm_Vertical,,1
CPT-14146-80T,L1,CPT1414680T,,1
B3F-5050,S1,B3F-4055,,1
B3F-5050,S2,B3F-4055,,1
